"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_SchoolNearBy.University._012vs345","Size.sqf.","YearBuilt",59224.754455435
"SalePrice","N_FacilitiesNearby.corr_neg","Size.sqf.","YearBuilt_2000_2010",59241.235509038
"SalePrice","N_FacilitiesNearBy.Hospital._0vs12","Size.sqf.","YearBuilt_2000_2010",59251.8816802553
"SalePrice","N_SchoolNearBy.Elementary.","Size.sqf.","YrSold_2011_2014",59269.9266958143
"SalePrice","Size.sqf.","YearBuilt","YearBuilt_2005",59271.1325145581
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Total.","Size.sqf.",59284.7713825148
"SalePrice","N_Parkinglot.Basement.","N_SchoolNearBy.Total.","Size.sqf.",59322.0719208368
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_SchoolNearBy.Elementary._cat","Size.sqf.",59330.9928842938
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.ETC.","Size.sqf.",59342.2333156219
"SalePrice","N_FacilitiesNearBy.Park._01vs2","Size.sqf.","YearBuilt",59351.3177027083
"SalePrice","N_FacilitiesNearBy.Hospital.","Size.sqf.","YrSold",59355.5348397303
"SalePrice","N_FacilitiesNearBy.Dpartmentstore.","Size.sqf.","YrSold",59373.6675734758
"SalePrice","N_FacilitiesNearBy.ETC.","Size.sqf.","YearBuilt_2000_2010",59374.93308673
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","YearBuilt",59386.8015619569
"SalePrice","N_SchoolNearBy.Middle._0vs123vs4","Size.sqf.","YearBuilt_2005",59387.9928484762
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.University.","Size.sqf.",59396.6700072012
"SalePrice","N_manager_splitAt4","Size.sqf.","YearBuilt_2000_2010",59408.2351489998
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.PublicOffice.","Size.sqf.",59409.1431319333
"SalePrice","N_FacilitiesNearBy.PublicOffice.","Size.sqf.","YrSold_2013",59409.1431674596
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YearBuilt_2005",59414.413666753
"SalePrice","HeatingType","Size.sqf.","YrSold",59421.0912374228
"SalePrice","Floor","Size.sqf.","YearBuilt_2005",59438.5221462947
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.Total._cut","Size.sqf.",59440.5756765436
"SalePrice","N_SchoolNearBy.University._012vs345","Size.sqf.","YrSold_2011_2014",59446.9044170719
"SalePrice","N_manager","Size.sqf.","YrSold",59449.8366748123
"SalePrice","N_manager","Size.sqf.","YearBuilt",59458.8852086785
"SalePrice","N_SchoolNearBy.University.","Size.sqf.","YearBuilt_2000_2010",59460.6059433244
"SalePrice","Size.sqf.","TimeToBusStop","YearBuilt_2000_2010",59466.0639368961
"SalePrice","N_SchoolNearBy.University._0vs12vs345","Size.sqf.","YrSold_2011_2014",59476.4615855212
"SalePrice","MonthSold","Size.sqf.","YearBuilt",59491.8200702949
"SalePrice","N_FacilitiesNearBy.Dpartmentstore.","Size.sqf.","YearBuilt",59500.035960378
"SalePrice","N_SchoolNearBy.University.","Size.sqf.","YrSold_2011_2014",59512.7982766741
"SalePrice","N_APT","Size.sqf.","YearBuilt_2000_2010",59525.0311062706
"SalePrice","Size.sqf.","SubwayStation_byProxy2","YearBuilt_2000_2010",59542.8484850393
"SalePrice","N_FacilitiesNearBy.Total.","Size.sqf.","YrSold_2011_2014",59545.9514797427
"SalePrice","N_FacilitiesNearBy.PublicOffice.","Size.sqf.","YearBuilt_2000_2010",59575.4851480949
"SalePrice","N_FacilitiesNearby.corr_neg","Size.sqf.","YrSold_2013",59579.3413105849
"SalePrice","Size.sqf.","SubwayStation_byProxy2","YrSold_2011_2014",59601.8056344892
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YearBuilt",59603.2208310577
"SalePrice","Size.sqf.","SubwayStation_byProxy1","YearBuilt_2000_2010",59627.0464430299
"SalePrice","N_FacilitiesNearBy.Dpartmentstore._01vs2","Size.sqf.","YearBuilt",59649.2154257816
"SalePrice","N_SchoolNearBy.Total.","Size.sqf.","YearBuilt_2000_2010",59655.5537592409
"SalePrice","Size.sqf.","SubwayStation","TimeToSubway",59665.5946761988
"SalePrice","N_SchoolNearBy.High._0vs12vs345","Size.sqf.","YearBuilt_2000_2010",59690.7800468237
"SalePrice","N_SchoolNearBy.Elementary._cat","Size.sqf.","YearBuilt_2000_2010",59691.8734043231
